year,fred_obs_weeks,fred_avg_mortgage15us,fred_min_mortgage15us,fred_max_mortgage15us,fred_std_mortgage15us
2000,52,7.718269,6.790000,8.310000,0.313048
2001,52,6.502308,5.940000,6.780000,0.221436
2002,52,5.982692,5.320000,6.690000,0.437498
2003,53,5.170943,4.600000,5.770000,0.273188
2004,52,5.206154,4.690000,5.720000,0.269023
2005,52,5.417885,5.100000,5.900000,0.239970
2006,52,6.066346,5.670000,6.440000,0.195629
2007,52,6.025192,5.650000,6.430000,0.193528
2008,53,5.617170,4.830000,6.190000,0.346135
2009,52,4.573846,4.270000,5.060000,0.176459
2010,52,4.095577,3.570000,4.520000,0.275385
2011,52,3.684231,3.210000,4.290000,0.348027
2012,52,2.934423,2.630000,3.300000,0.206059
2013,52,3.100769,2.560000,3.600000,0.354538
2014,53,3.286038,3.080000,3.560000,0.110058
2015,52,3.087500,2.920000,3.250000,0.101109
2016,52,2.930769,2.720000,3.550000,0.213200
2017,52,3.272500,3.080000,3.500000,0.105865
2018,52,4.000192,3.380000,4.360000,0.207860
2019,52,3.391731,3.000000,3.990000,0.299344
2020,53,2.604906,2.170000,3.160000,0.277853
2021,52,2.271923,2.100000,2.450000,0.093934
2022,52,4.583846,2.430000,6.380000,1.112739
2023,52,6.111731,5.140000,7.030000,0.497037
